source	target	weight
0	1	4
2	1	11
2	3	4
2	4	3
2	5	14
2	6	9
2	7	16
2	8	10
2	9	9
2	10	4
2	11	11
2	12	23
2	13	3
2	14	3
2	15	6
2	16	4
17	18	7
17	19	3
17	20	12
17	21	16
17	22	3
23	24	6
23	25	3
23	26	4
27	28	4
27	29	3
30	9	5
30	31	5
30	13	6
32	33	3
32	34	4
32	1	9
32	35	5
32	36	6
32	37	9
38	20	6
39	20	13
39	40	6
39	41	5
42	43	18
42	44	5
42	22	5
45	46	5
45	47	13
45	48	21
45	49	4
50	51	11
50	52	4
50	53	4
50	54	12
50	55	3
50	56	6
51	53	5
51	54	11
51	55	3
51	57	4
51	56	5
58	59	3
58	43	3
58	60	4
58	61	3
58	22	7
62	63	6
62	64	4
62	65	4
66	67	7
66	68	4
66	69	4
66	70	4
66	20	12
66	71	4
66	72	3
66	40	4
66	73	5
66	74	4
66	25	7
66	75	3
52	76	3
43	77	4
43	28	4
43	78	8
43	79	3
43	80	3
43	81	3
43	44	15
43	82	8
43	31	4
43	83	3
43	22	16
43	84	3
43	25	7
43	85	3
43	86	12
43	87	3
88	3	3
89	20	4
89	40	5
89	90	8
89	91	3
89	22	3
92	22	3
93	28	3
93	25	3
53	54	11
53	76	3
53	57	4
53	12	3
94	70	5
94	73	5
94	95	4
94	96	3
94	22	3
94	25	17
33	97	9
33	98	4
33	99	3
33	34	18
33	1	75
33	100	5
33	47	4
33	101	3
33	35	6
33	102	8
33	103	42
33	36	3
33	104	8
33	105	3
33	106	8
33	48	22
33	107	7
33	9	3
33	108	21
33	109	3
33	12	3
33	110	3
33	111	3
33	112	3
113	1	4
114	115	4
116	117	7
116	103	3
116	118	3
116	119	5
97	1	13
97	103	11
97	48	3
97	108	3
120	73	5
120	25	4
98	34	9
98	1	14
98	103	3
98	121	3
98	122	3
98	123	5
98	12	4
124	1	3
124	5	4
124	125	4
124	12	7
126	127	3
126	90	4
128	20	4
129	4	3
99	1	3
99	103	5
99	49	3
130	131	3
130	132	4
133	134	8
133	135	9
133	20	45
133	72	5
133	136	19
133	65	3
133	22	3
133	137	5
133	138	5
67	139	14
67	140	6
67	69	4
67	141	50
67	142	17
67	20	4
67	143	5
67	144	33
67	145	7
67	146	6
67	25	8
147	20	3
147	148	3
149	68	3
150	151	3
150	152	3
153	154	6
153	127	4
153	90	5
139	144	3
155	152	4
156	157	5
158	47	3
158	159	3
158	160	7
158	48	7
158	49	4
161	54	3
161	162	4
163	119	3
164	69	5
134	18	3
134	20	3
134	136	8
151	1	3
151	54	3
151	165	3
151	162	4
151	166	11
151	167	4
151	152	13
151	168	3
151	169	10
151	170	6
151	171	3
151	172	6
151	131	3
151	173	4
151	57	4
151	174	3
151	175	3
151	176	3
151	9	3
