id	name
0	Aegon-I-Targaryen
1	Harren-Hoare
2	Nan
3	Rhaenys-Targaryen
4	Tyrion-Lannister
5	Visenya-Targaryen
6	Aegon-V-Targaryen
7	Aemon-Targaryen-(Maester-Aemon)
8	Daeron-II-Targaryen
9	Jeor-Mormont
10	Jon-Snow
11	Maekar-I-Targaryen
12	Samwell-Tarly
13	Aenys-Frey
14	Arya-Stark
15	Aeron-Greyjoy
16	Dagmer
17	Theon-Greyjoy
18	Aerys-I-Targaryen
19	Robert-Baratheon
20	Aerys-II-Targaryen
21	Eddard-Stark
22	Jaime-Lannister
23	Rhaegar-Targaryen
24	Aggar
25	Gariss
26	Gelmarr
27	Gynir
28	Ramsay-Snow
29	Aggo
30	Belwas
31	Daenerys-Targaryen
32	Jhogo
33	Jorah-Mormont
34	Rakharo
35	Alayaya
36	Dancy
37	Alebelly
38	Bran-Stark
39	Hayhead
40	Jojen-Reed
41	Mikken
42	Alester-Florent
43	Cortnay-Penrose
44	Davos-Seaworth
45	Renly-Baratheon
46	Stannis-Baratheon
47	Allar-Deem
48	Janos-Slynt
49	Allard-Seaworth
50	Marya-Seaworth
51	Alliser-Thorne
52	Joffrey-Baratheon
53	Amabel
54	Harra
55	Amory-Lorch
56	Cersei-Lannister
57	Chiswyck
58	Dunsen
59	Gendry
60	Gregor-Clegane
61	Hot-Pie
62	Ilyn-Payne
63	Meryn-Trant
64	Polliver
65	Rafford
66	Roose-Bolton
67	Sandor-Clegane
68	Tickler
69	Tywin-Lannister
70	Vargo-Hoat
71	Yoren
72	Ardrian-Celtigar
73	Monford-Velaryon
74	Aron-Santagar
75	Arwyn-Oakheart
76	Randyll-Tarly
77	Beric-Dondarrion
78	Biter
79	Dobber
80	Jaqen-Hghar
81	Koss
82	Lommy-Greenhands
83	Praed
84	Rickon-Stark
85	Robb-Stark
86	Rorge
87	Sansa-Stark
88	Syrio-Forel
89	Weasel
90	Weese
91	Woth
92	Arys-Oakheart
93	Myrcella-Baratheon
94	Asha-Greyjoy
95	Balon-Greyjoy
96	Wex-Pyke
97	Axell-Florent
98	Selyse-Florent
99	Bael-the-Bard
100	Ygritte
101	Ballabar
102	Podrick-Payne
103	Catelyn-Stark
104	Victarion-Greyjoy
105	Balon-Swann
106	Mandon-Moore
107	Osmund-Kettleblack
108	Barristan-Selmy
109	Varys
110	Benfred-Tallhart
111	Helman-Tallhart
112	Leobald-Tallhart
113	Stygg
114	Benjen-Stark
115	Thoros-of-Myr
116	Beth-Cassel
117	Rodrik-Cassel
118	Boros-Blount
119	Gyles-Rosby
120	Tanda-Stokeworth
121	Tommen-Baratheon
122	Chayle
123	Cley-Cerwyn
124	Donella-Hornwood
125	Hodor
126	Howland-Reed
127	Luwin
128	Meera-Reed
129	Osha
130	Poxy-Tym
131	Reek
132	Stafford-Lannister
133	Walder-Frey-(son-of-Jammos)
134	Walder-Frey-(son-of-Merrett)
135	Wyman-Manderly
136	Brienne-of-Tarth
137	Edmure-Tully
138	Emmon-Cuy
139	Robar-Royce
140	Selwyn-Tarth
141	Vyman
142	Bronn
143	Jacelyn-Bywater
144	Timett
145	Bryce-Caron
146	Eldon-Estermont
147	Guyard-Morrigen
148	Brynden-Tully
149	Captain-Myraham
150	Captain-Myraham-Daughter
151	Cleos-Frey
152	Colen-of-Greenpools
153	Desmond-Grell
154	Hallis-Mollen
155	Hoster-Tully
156	Loras-Tyrell
157	Lysa-Arryn
158	Margaery-Tyrell
159	Mathis-Rowan
160	Utherydes-Wayn
161	Wendel-Manderly
162	Lancel-Lannister
163	Osfryd-Kettleblack
164	Osney-Kettleblack
165	Petyr-Baelish
166	Preston-Greenfield
167	Pycelle
168	Shae
169	Vylarr
170	Chataya
171	Chella
172	Chett
173	Craster
174	Dywen
175	Eddison-Tollett
176	Mance-Rayder
177	Thoren-Smallwood
178	Cressen
179	Melisandre
180	Patchface
181	Pylos
182	Shireen-Baratheon
183	Cutjack
184	Kurz
185	Tarber
186	Doreah
187	Drogo
188	Irri
189	Jhiqui
190	Lynesse-Hightower
191	Mirri-Maz-Duur
192	Pono
193	Pyat-Pree
194	Quaithe
195	Viserys-Targaryen
196	Xaro-Xhoan-Daxos
197	Dalbridge
198	Ebben
199	Qhorin-Halfhand
200	Devan-Seaworth
201	Imry-Florent
202	Matthos-Seaworth
203	Salladhor-Saan
204	Dolf
205	Shagga
206	Mors-Umber
207	Dontos-Hollard
208	Moon-Boy
209	Doran-Martell
210	Drennan
211	Squint
212	Grenn
213	Stonesnake
214	Maron-Greyjoy
215	Steffon-Varner
216	Euron-Greyjoy
217	Farlen
218	Florian-the-Fool
219	Jonquil
220	Murch
221	Garlan-Tyrell
222	Lollys-Stokeworth
223	Hake
224	Hallyne
225	Halys-Hornwood
226	High-Septon-(fat_one)
227	High-Septon-(Tyrions)
228	Hobber-Redwyne
229	Horas-Redwyne
230	Mebble
231	Tysha
232	Jaremy-Rykker
233	Jarman-Buckwell
234	Jason-Mallister
235	Ottyn-Wythers
236	Mace-Tyrell
237	Jon-Fossoway
238	Lark
239	Rattleshirt
240	Jon-Umber-(Greatjon)
241	Kyra
242	Lorent-Caswell
243	Lorren
244	Urzen
245	Paxter-Redwyne
246	Martyn-Rivers
247	Robert-Arryn
248	Trystane-Martell
249	Olyvar-Frey
250	Palla
251	Perwyn-Frey
252	Qyburn
253	Steffon-Baratheon
254	Rickard-Karstark
255	Walder-Frey
256	Robett-Glover
257	Shadd
258	Werlag
