id	name
0	Addam-Marbrand
1	Brynden-Tully
2	Cersei-Lannister
3	Jaime-Lannister
4	Lyle-Crakehall
5	Aegon-Targaryen-(son-of-Rhaegar)
6	Rhaegar-Targaryen
7	Aegon-V-Targaryen
8	Aemon-Targaryen-(Maester-Aemon)
9	Alleras
10	Clydas
11	Dareon
12	Gilly
13	Jon-Snow
14	Samwell-Tarly
15	Aeron-Greyjoy
16	Asha-Greyjoy
17	Baelor-Blacktyde
18	Balon-Greyjoy
19	Dunstan-Drumm
20	Emmond
21	Euron-Greyjoy
22	Gormond-Goodbrother
23	Gorold-Goodbrother
24	Greydon-Goodbrother
25	Meldred-Merlyn
26	Murenmure
27	Rus
28	Theon-Greyjoy
29	Victarion-Greyjoy
30	Aerys-II-Targaryen
31	Barristan-Selmy
32	Denys-Darklyn
33	Elbert-Arryn
34	Owen-Merryweather
35	Robert-Baratheon
36	Tywin-Lannister
37	Alla-Tyrell
38	Elinor-Tyrell
39	Margaery-Tyrell
40	Megga-Tyrell
41	Osney-Kettleblack
42	Armen
43	Leo-Tyrell
44	Marwyn
45	Mollander
46	Pate-(novice)
47	Roone
48	Alys-Arryn
49	Elys-Waynwood
50	Jon-Arryn
51	Amerei-Frey
52	Lancel-Lannister
53	Anders-Yronwood
54	Quentyn-Martell
55	Andrey-Dalt
56	Arianne-Martell
57	Garin-(orphan)
58	Myrcella-Baratheon
59	Sylva-Santagar
60	Tyene-Sand
61	Anya-Waynwood
62	Benedar-Belmore
63	Gilwood-Hunter
64	Harrold-Hardyng
65	Horton-Redfort
66	Petyr-Baelish
67	Symond-Templeton
68	Yohn-Royce
69	Areo-Hotah
70	Arys-Oakheart
71	Caleotte
72	Doran-Martell
73	Obara-Sand
74	Oberyn-Martell
75	Cedra
76	Franklyn-Fowler
77	Gerold-Dayne
78	Mellei
79	Morra
80	Ricasso
81	Timoth
82	Arya-Stark
83	Bellegere-Otherys
84	Brea
85	Brusco
86	Denyo-Terys
87	Kindly-Man
88	Meralyn
89	Nan
90	Sandor-Clegane
91	Sansa-Stark
92	Syrio-Forel
93	Talea
94	Ternesio-Terys
95	Umma
96	Waif
97	Yorko-Terys
98	Red-Oarsman
99	Rodrik-Harlaw
100	Tristifer-Botley
101	Aurane-Waters
102	Gyles-Rosby
103	Harys-Swyft
104	Loras-Tyrell
105	Orton-Merryweather
106	Paxter-Redwyne
107	Stannis-Baratheon
108	Tommen-Baratheon
109	Baelor-I-Targaryen
110	Balman-Byrch
111	Bronn
112	Falyse-Stokeworth
113	Balon-Swann
114	Gregor-Clegane
115	Beric-Dondarrion
116	Catelyn-Stark
117	Mariya-Darry
118	Thoros-of-Myr
119	Biter
120	Brienne-of-Tarth
121	Blue-Bard
122	Lambert-Turnberry
123	Qyburn
124	Tallad
125	Bonifer-Hasty
126	Boros-Blount
127	Meryn-Trant
128	Osmund-Kettleblack
129	Bran-Stark
130	Rickon-Stark
131	Robb-Stark
132	Brella
133	Clarence-Crabb
134	Creighton-Longbough
135	Dick-Crabb
136	Dontos-Hollard
137	Elder-Brother
138	Gendry
139	Hyle-Hunt
140	Illifer
141	Jeyne-Heddle
142	Joffrey-Baratheon
143	Lysa-Arryn
144	Meribald
145	Narbert
146	Podrick-Payne
147	Pyg
148	Randyll-Tarly
149	Renly-Baratheon
150	Shagwell
151	Timeon
152	Tyrion-Lannister
153	Willow-Heddle
154	Lollys-Stokeworth
155	Daven-Lannister
156	Edmure-Tully
157	Edwyn-Frey
158	Emmon-Frey
159	Ryman-Frey
160	Cedric-Payne
161	Dorcas
162	Dunsen
163	Eddard-Stark
164	Garlan-Tyrell
165	Garth-Tyrell
166	High-Septon-(Tyrions)
167	High-Sparrow
168	Ilyn-Payne
169	Jalabhar-Xho
170	Jocelyn-Swyft
171	Kevan-Lannister
172	Mace-Tyrell
173	Maegor-I-Targaryen
174	Maggy
175	Mark-Mullendore
176	Melara-Hetherspoon
177	Moon-Boy
178	Olenna-Redwyne
179	Osfryd-Kettleblack
180	Pycelle
181	Rafford
182	Raynard
183	Senelle
184	Taena-of-Myr
185	Unella
186	Varys
187	Walder-Frey
188	Clement-Piper
189	Cleos-Frey
190	Colemon
191	Gretchel
192	Maddy
193	Robert-Arryn
194	Craster
195	Jeor-Mormont
196	Shadrich
197	Daemon-Sand
198	Dalla
199	Lanna-(Happy-Port)
200	Eustace-Brune
201	Nymeria-Sand
202	Eddison-Tollett
203	Forley-Prester
204	Roslin-Frey
205	Walder-Rivers
206	Elia-Martell
207	Genna-Lannister
208	Hotho-Harlaw
209	Humfrey-Hewett
210	Nute
211	Quellon-Greyjoy
212	Sawane-Botley
213	Garrett-Paege
214	Gerold-Grafton
215	Terrance-Lynderly
216	Kojja-Mo
217	Melisandre
218	Gormon-Tyrell
219	Walgrave
220	Grenn
221	Pypar
222	Gyles-Grafton
223	Harras-Harlaw
224	Sigfryd-Harlaw
225	Hugo-Vance
226	Jaehaerys-I-Targaryen
227	Josmyn-Peckledon
228	Joy-Hill
229	Karyl-Vance
230	Lewys-Piper
231	Pia
232	Rennifer-Longwaters
233	Ronnet-Connington
234	Shitmouth
235	Sybell-Spicer
236	Vargo-Hoat
237	Wylis-Manderly
238	Zollo
239	Jeyne-Farman
240	Jeyne-Westerling
241	Tanda-Stokeworth
242	Lothor-Brune
243	Mya-Stone
244	Lucas-Codd
245	Torwold-Browntooth
246	Luwin
247	Lyn-Corbray
248	Lyonel-Corbray
249	Marillion
250	Nestor-Royce
251	Mathis-Rowan
252	Manfrey-Martell
253	Willas-Tyrell
254	Myranda-Royce
255	Trystane-Martell
256	Ralf-Stonehouse
257	Quill
258	Rosey
259	Pate-(whipping-boy)
260	Puckens
261	Shortear
262	Qhorin-Halfhand
263	Quhuru-Mo
264	Xhondo
265	Ralf-(Limper)
266	Torbert
267	Rugen
268	Roose-Bolton
269	Theobald
270	Tickler
271	Sarella-Sand
272	Shae
273	Talbert-Serry
