source	target	weight
0	1	3
0	2	3
0	3	3
0	4	3
0	5	3
0	6	3
0	7	7
0	8	4
9	10	4
9	11	5
9	12	3
9	13	6
14	15	4
14	16	4
14	17	3
18	19	3
20	2	3
21	22	3
21	23	16
21	24	3
21	25	4
21	26	11
21	27	3
21	28	5
21	29	3
21	30	5
21	31	3
21	32	36
21	33	5
21	34	3
21	35	5
21	36	5
21	37	32
21	16	9
21	38	3
39	40	5
39	41	3
39	2	22
39	4	6
39	36	9
39	42	4
39	7	6
39	43	10
39	44	3
45	46	4
45	47	3
48	49	3
48	50	3
48	7	4
51	52	3
51	53	3
54	55	4
54	56	11
54	57	3
54	58	4
54	16	4
59	60	5
59	61	6
59	62	4
22	30	13
22	32	22
22	33	6
22	63	4
22	37	4
22	16	3
64	65	3
64	2	3
64	6	6
64	43	4
64	66	3
67	6	3
68	56	4
68	69	4
68	70	3
71	72	15
71	73	4
71	74	9
71	75	7
71	76	3
71	77	22
71	78	3
71	79	6
71	80	12
81	32	3
82	83	25
82	15	29
82	84	3
82	85	3
82	86	13
82	87	3
82	88	7
82	89	7
40	90	5
40	91	3
40	89	3
40	92	4
72	73	23
72	93	9
72	94	4
72	10	3
72	50	6
72	95	3
72	96	6
72	97	4
72	98	46
72	74	9
72	65	6
72	75	17
72	99	25
72	100	3
72	2	10
72	4	10
72	32	9
72	77	24
72	101	4
72	102	3
72	103	6
72	104	7
72	105	4
72	106	11
72	107	5
72	108	7
72	109	8
72	11	14
72	36	5
72	110	8
72	78	48
72	62	23
72	111	21
72	112	5
72	80	24
72	7	7
55	56	21
55	57	5
55	113	4
55	114	5
55	115	3
55	58	8
55	16	16
116	16	3
117	50	3
117	62	3
117	7	3
118	119	4
118	7	4
120	11	6
120	16	4
120	43	4
121	122	3
121	2	5
121	4	5
121	123	6
121	124	3
121	7	4
125	126	5
125	37	11
127	15	5
127	90	5
127	2	4
127	86	5
127	36	8
128	129	4
128	126	3
128	27	4
128	28	4
128	37	3
83	130	4
83	15	28
83	84	8
83	85	3
83	86	18
83	131	8
130	132	4
130	15	10
133	93	3
133	31	3
133	32	3
133	36	3
73	98	4
73	65	3
73	75	7
73	134	4
73	4	3
73	77	14
73	78	15
73	111	26
73	80	4
135	32	3
135	136	3
137	138	3
139	31	3
122	50	4
122	2	6
122	123	5
122	102	6
122	140	7
122	7	6
141	24	3
141	25	5
141	26	4
141	27	3
141	29	3
141	30	10
141	31	8
141	32	5
141	142	9
141	37	7
93	10	3
93	143	4
93	96	7
93	144	71
93	4	3
93	145	48
93	32	13
93	146	3
93	147	54
93	104	14
93	109	31
93	11	18
93	37	11
93	62	10
93	148	9
149	96	8
149	109	3
149	11	3
150	62	4
150	151	4
152	10	3
41	10	7
41	50	5
41	153	12
41	97	6
41	2	87
41	123	6
41	154	3
41	11	5
41	110	11
41	62	5
41	7	4
41	66	4
41	155	3
49	50	8
49	65	4
49	4	3
49	156	3
49	157	3
49	6	4
49	158	17
49	140	4
49	7	32
49	43	3
49	8	4
94	10	5
94	159	6
94	160	4
94	11	12
94	43	4
94	13	4
161	162	4
161	62	6
163	129	3
10	50	4
10	153	4
10	164	5
10	165	6
10	96	7
10	159	18
10	97	5
10	166	16
10	2	19
10	167	5
10	168	13
10	4	3
10	146	10
10	169	3
10	170	15
10	171	6
10	172	3
10	173	6
10	174	5
10	160	6
10	11	48
10	175	3
10	176	3
10	110	10
10	177	7
10	178	6
10	62	11
10	16	4
10	179	8
10	7	7
10	180	9
10	13	25
50	95	6
50	96	6
50	19	4
50	181	4
50	65	7
50	100	8
50	2	35
50	4	44
50	5	5
50	182	3
50	170	4
50	52	6
50	157	4
50	53	6
50	102	13
50	6	9
50	162	5
50	124	8
50	106	6
50	183	4
50	107	6
50	36	14
50	78	5
50	62	21
50	151	4
50	112	6
50	140	4
50	7	54
50	43	20
50	8	4
50	184	5
185	7	4
186	31	6
186	187	9
186	63	3
186	37	4
186	188	8
189	15	4
189	190	5
153	2	25
191	129	6
191	37	3
23	29	6
23	32	10
23	37	6
143	192	3
24	25	14
24	27	3
24	32	3
24	142	6
24	35	3
24	37	10
24	16	5
129	193	6
129	27	3
129	192	16
129	28	3
129	31	8
129	145	3
129	32	7
129	33	6
129	37	32
129	194	3
195	56	4
132	15	15
132	196	3
132	197	3
132	86	10
132	198	3
132	199	3
164	171	3
164	11	3
15	196	7
15	190	3
15	200	14
15	201	6
15	197	17
15	85	17
15	46	4
15	86	53
15	87	16
15	88	5
15	202	26
15	131	4
15	47	7
15	89	13
15	203	5
15	36	8
15	44	8
204	205	3
206	32	6
206	33	10
206	207	7
56	208	5
56	69	19
56	209	3
56	4	10
56	210	4
56	57	8
56	113	40
56	114	6
56	211	15
56	115	22
56	58	6
56	205	9
56	16	52
25	27	3
25	30	3
25	142	4
25	35	4
25	37	14
165	159	4
165	11	4
165	212	6
208	211	3
208	16	4
213	32	3
213	214	5
193	37	4
26	31	4
26	32	33
26	215	6
26	33	3
26	63	3
26	16	4
216	4	10
216	217	3
216	218	3
216	173	4
216	62	13
216	7	7
216	184	3
219	65	3
219	6	4
219	7	10
196	197	3
196	86	8
95	65	11
95	100	6
95	4	6
95	102	6
95	106	9
95	107	10
95	78	7
95	112	9
126	27	5
126	28	4
126	31	4
126	37	6
96	65	3
96	2	6
96	4	3
96	32	4
96	109	8
96	11	13
96	36	7
