source	target	weight
0	1	4
0	2	3
0	3	4
0	4	3
0	5	3
6	7	3
7	8	3
7	9	9
7	10	11
7	11	3
7	12	5
13	14	6
15	16	5
15	17	17
18	19	3
20	21	5
20	22	4
20	23	4
20	19	6
20	4	3
24	25	3
24	26	3
24	27	3
24	28	4
29	30	3
29	31	10
29	32	12
29	33	4
29	34	4
35	36	3
35	4	3
37	38	7
37	39	3
37	40	6
37	41	3
42	43	4
42	44	3
42	45	3
42	46	5
47	48	3
47	4	4
49	44	5
49	50	5
49	46	3
51	9	3
51	52	4
51	10	3
51	4	8
53	14	6
53	54	4
55	14	9
55	56	4
55	57	4
55	58	3
55	59	3
55	60	7
55	61	3
55	62	4
55	52	7
55	63	5
55	64	3
55	65	5
55	66	3
55	67	5
55	68	5
55	69	4
55	70	7
55	71	5
72	73	5
74	67	3
75	76	3
14	77	5
14	78	10
14	38	10
14	56	7
14	57	8
14	79	4
14	58	3
14	21	6
14	59	36
14	60	4
14	54	3
14	1	7
14	61	51
14	22	3
14	80	25
14	52	4
14	10	13
14	81	3
14	82	31
14	2	5
14	64	3
14	83	3
14	65	5
14	84	5
14	85	15
14	19	4
14	66	13
14	86	13
14	87	20
14	88	5
14	4	4
14	69	13
14	70	6
14	89	10
14	90	15
14	91	3
14	71	28
92	52	6
92	93	4
92	87	3
94	95	3
94	16	5
94	17	35
94	96	3
97	98	3
97	46	6
99	100	5
101	102	3
101	4	12
95	103	3
95	16	3
95	21	4
95	85	5
95	19	4
95	17	27
95	104	4
105	52	6
105	106	3
105	63	3
105	107	4
105	4	8
108	30	5
108	56	5
108	31	3
108	52	7
108	19	3
108	109	3
30	31	5
30	32	3
30	33	4
110	111	3
110	112	3
110	113	3
110	17	7
114	9	5
77	115	3
116	38	4
116	117	4
116	17	3
78	80	12
78	86	14
78	71	3
118	56	7
118	119	5
118	52	11
118	63	13
118	87	8
118	120	3
118	121	3
118	4	8
38	103	3
38	122	3
38	123	5
38	124	5
38	21	4
38	39	6
38	125	59
38	126	3
38	40	47
38	10	11
38	127	51
38	128	36
38	41	11
38	2	7
38	129	30
38	130	3
38	28	7
38	131	3
38	84	54
38	85	28
38	117	34
38	87	5
38	132	3
38	17	24
38	133	5
38	134	12
38	135	6
136	103	36
136	137	3
136	138	8
136	22	3
136	45	28
136	139	3
136	19	3
136	140	4
136	46	5
136	141	3
142	56	11
142	143	7
142	52	9
142	106	5
142	102	3
142	46	3
142	144	5
142	121	3
142	4	40
142	109	8
145	43	3
145	146	3
145	147	5
145	45	7
145	46	3
148	103	5
148	85	6
148	69	3
149	17	4
150	17	3
103	56	14
103	151	5
103	152	6
103	153	3
103	21	12
103	137	17
103	154	6
103	155	5
103	22	16
103	52	4
103	156	6
103	157	7
103	158	4
103	159	3
103	76	3
103	45	51
103	84	3
103	139	7
103	85	27
103	19	5
103	87	3
103	132	3
103	46	20
103	17	5
103	4	10
103	69	14
103	160	3
103	141	4
103	161	7
56	57	3
56	151	6
56	58	3
56	21	13
56	60	4
56	119	6
56	62	12
56	143	4
56	22	17
56	48	9
