rent_station	return_station	num_trips
207	207	664
502	502	600
186	186	493
565	565	492
152	152	490
2102	2102	439
1827	1827	423
3515	3515	371
593	502	334
3511	3511	327
589	509	322
583	583	316
907	00907	301
648	646	300
2102	2183	298
502	593	287
585	589	287
2177	2177	274
780	00780	273
2183	2102	267
2262	2262	265
2183	2183	256
2622	2622	254
548	502	232
567	563	224
509	589	223
1210	1211	217
2219	2219	217
439	439	214
249	249	209
2621	2621	206
272	272	206
668	646	205
646	602	201
117	117	198
589	585	197
1209	1209	196
646	648	194
1264	2611	194
284	240	193
263	263	193
781	00703	190
754	744	187
232	232	187
206	206	186
646	668	184
230	230	184
228	228	184
2610	1210	184
2025	2025	182
3413	3413	181
502	548	178
2217	2217	178
2301	2301	178
3214	3219	177
1211	1210	176
914	00914	176
240	284	175
225	222	174
1210	2610	174
247	247	174
439	147	173
2136	2109	172
2002	2002	172
529	594	171
205	205	171
2109	2136	169
4076	4076	168
148	148	167
2013	2050	165
1209	1278	165
3002	3002	164
1512	1512	162
293	247	160
931	00931	160
1452	1452	159
3789	3789	158
1655	1655	158
2645	2645	158
247	293	156
744	754	156
1762	1721	156
123	123	156
1320	1320	155
1911	1911	155
2611	1264	153
114	114	153
956	00956	153
418	418	152
996	00996	152
1160	1160	151
594	529	151
2109	2109	150
241	1961	150
1152	1167	149
1720	1720	149
1355	1355	149
1996	1996	149
182	182	149
10	10	148
207	202	148
860	00860	148
2252	2255	148
147	439	148
420	420	147
1209	1226	147
815	00815	147
230	232	147
262	262	147
1122	1122	146
2107	2107	146
259	259	145
567	514	145
151	151	145
1268	1268	143
2412	2342	143
3010	3010	143
2076	2076	142
283	283	142
202	202	141
1167	1152	141
247	3202	140
288	288	140
3514	568	140
952	00949	139
3219	3214	139
2107	2102	139
1617	1617	138
1166	1166	137
646	646	136
703	781	136
1278	1209	136
634	634	136
2220	2220	135
2613	2613	135
2715	1190	135
257	257	135
202	207	134
183	183	133
3600	3600	133
259	222	132
2140	2140	132
1090	1090	132
755	755	132
502	3533	131
1120	1120	131
1686	1686	130
175	175	130
2910	1684	130
3205	3205	129
153	153	129
339	339	129
210	210	128
3410	3413	127
1985	1985	127
1222	1222	127
2230	2228	127
602	646	126
2102	2107	126
1152	2701	126
227	227	126
670	670	125
1158	1158	125
708	703	125
498	3010	124
2247	2247	124
2902	1608	124
500	3579	124
222	259	124
2342	2412	124
1220	1220	124
1906	1906	123
232	230	123
2913	2913	122
593	593	121
766	766	121
631	631	121
1824	1824	121
1363	1363	121
1925	1925	121
2213	2540	121
744	749	120
2348	2355	120
1321	1321	120
2050	2050	120
1650	1650	120
3202	247	120
781	00781	119
1118	1118	119
1149	1112	119
913	00931	118
2103	2177	118
793	00793	118
563	567	118
659	1308	118
548	548	117
726	726	117
1808	1851	116
1149	2715	116
1008	01008	116
154	154	115
1190	2715	115
2722	1160	115
133	133	115
2173	2173	115
2255	2252	114
393	393	114
609	609	113
585	585	113
3106	3106	113
1451	1451	113
1019	01050	113
1608	2902	113
703	703	112
247	244	112
2107	2183	111
2048	2032	111
222	222	111
2264	2228	111
221	221	111
278	278	111
1987	1987	110
1669	1669	110
1616	1616	109
1608	1608	109
846	00838	109
2919	2919	109
222	225	109
838	00846	108
825	00825	108
567	567	108
102	102	108
509	509	108
244	244	108
746	746	107
2183	2107	107
668	668	107
1044	1044	107
144	144	107
1663	1663	106
183	114	106
1738	1738	106
2733	2701	106
3566	3533	106
1050	1084	106
1611	2915	105
2611	2611	105
797	00703	105
711	779	105
146	146	104
1160	2722	104
2623	2623	104
1308	1308	104
280	247	104
1907	1851	104
643	643	103
2915	1611	103
431	431	103
2176	2176	103
2103	2103	102
911	00943	102
2228	2228	102
202	211	101
2915	1608	101
561	509	101
4652	996	101
1297	1210	101
131	131	101
1119	1119	101
230	243	100
3533	502	100
1257	2629	100
106	106	100
703	708	100
